epoch,timestamp,elapsed_time,total_loss,pde_loss,surf_loss,wt_head_loss,wt_kin_loss,ic_h_loss,ic_zb_loss,pde_grad,surf_grad,wt_head_grad,wt_kin_grad,ic_h_grad,ic_zb_grad,total_grad,pde_weight,surf_weight,wt_head_weight,wt_kin_weight,ic_h_weight,ic_zb_weight,cache_mean_residual,cache_max_residual,cache_std_residual,learning_rate,epoch_time
2999,2025-09-30T01:30:23.775250,33.2809054851532,0.0001687827316345647,0.0,0.0001687827316345647,0.0,0.0,0.0,0.0,0.0,0.04903995056043027,0.0,0.0,0.0,0.0,0.04903995056043027,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2453886029106798e-06,1.8721880223893095e-06,4.978801939614641e-07,0.0001,0.010090351104736328
3049,2025-09-30T01:30:24.313566,33.81922125816345,8.75247351359576e-05,0.0,8.75247351359576e-05,0.0,0.0,0.0,0.0,0.0,0.06057686932973161,0.0,0.0,0.0,0.0,0.06057686932973161,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3335995845409343e-06,1.874394683909486e-06,4.987128363609372e-07,0.0001,0.013003110885620117
3099,2025-09-30T01:30:24.864799,34.37045431137085,1.5696432456024922e-05,0.0,1.5696432456024922e-05,0.0,0.0,0.0,0.0,0.0,0.022499681852286905,0.0,0.0,0.0,0.0,0.022499681852286905,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3335995845409343e-06,1.874394683909486e-06,4.987128363609372e-07,0.0001,0.01127934455871582
3149,2025-09-30T01:30:25.417885,34.92353963851929,4.6455548726953566e-05,0.0,4.6455548726953566e-05,0.0,0.0,0.0,0.0,0.0,0.02042193038443206,0.0,0.0,0.0,0.0,0.02042193038443206,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3335995845409343e-06,1.874394683909486e-06,4.987128363609372e-07,0.0001,0.012161731719970703
3199,2025-09-30T01:30:25.971433,35.4770884513855,0.0001056928958860226,0.0,0.0001056928958860226,0.0,0.0,0.0,0.0,0.0,0.05238016142273654,0.0,0.0,0.0,0.0,0.05238016142273654,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3335995845409343e-06,1.874394683909486e-06,4.987128363609372e-07,0.0001,0.010093927383422852
3249,2025-09-30T01:30:26.493919,35.999574422836304,8.429403351328801e-06,0.0,8.429403351328801e-06,0.0,0.0,0.0,0.0,0.0,0.007893657460648589,0.0,0.0,0.0,0.0,0.007893657460648589,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3335995845409343e-06,1.874394683909486e-06,4.987128363609372e-07,0.0001,0.011034250259399414
3299,2025-09-30T01:30:27.037208,36.54286336898804,3.322501652291976e-05,0.0,3.322501652291976e-05,0.0,0.0,0.0,0.0,0.0,0.03243944822912715,0.0,0.0,0.0,0.0,0.03243944822912715,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3335995845409343e-06,1.874394683909486e-06,4.987128363609372e-07,0.0001,0.010122299194335938
3349,2025-09-30T01:30:27.566630,37.07228493690491,4.099778743693605e-05,0.0,4.099778743693605e-05,0.0,0.0,0.0,0.0,0.0,0.03097937164673057,0.0,0.0,0.0,0.0,0.03097937164673057,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3335995845409343e-06,1.874394683909486e-06,4.987128363609372e-07,0.0001,0.010089874267578125
3399,2025-09-30T01:30:28.071530,37.57718467712402,2.6583173166727647e-05,0.0,2.6583173166727647e-05,0.0,0.0,0.0,0.0,0.0,0.011191104846969885,0.0,0.0,0.0,0.0,0.011191104846969885,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3335995845409343e-06,1.874394683909486e-06,4.987128363609372e-07,0.0001,0.011069774627685547
3449,2025-09-30T01:30:28.626807,38.13246202468872,0.0008111047791317105,0.0,0.0008111047791317105,0.0,0.0,0.0,0.0,0.0,0.1611839801894966,0.0,0.0,0.0,0.0,0.1611839801894966,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3335995845409343e-06,1.874394683909486e-06,4.987128363609372e-07,0.0001,0.010002374649047852
