site_no,latitude_dms,longitude_dms
410428085171701,"41°04'27.9""","85°17'16.68"""
410917087285801,"41°09'17""","87°28'58"""
395332085594501,"39°53'32""","85°59'45"""
413720087233901,"41°37'19.6""","87°23'39.4"""
385601085365701,"38°56'01""","85°36'57"""
384951087202501,"38°49'51""","87°20'25"""
394940085460101,"39°49'40""","85°46'01"""
384949085251901,"38°49'50""","85°25'17"""
391627085534401,"39°16'27""","85°53'44"""
394632086092701,"39°46'32""","86°09'27"""
413703087230501,"41°37'02.9""","87°23'05.4"""
403407086175701,"40°34'07""","86°17'57"""
413644087230601,"41°36'43.7""","87°23'06.4"""
383247087361001,"38°32'47""","87°36'10"""
413754084540601,"41°37'54""","84°54'06"""
402734087033401,"40°27'34""","87°03'34"""
393619087043001,"39°36'19""","87°04'30"""
414831072173002,"41°48'30.72""","72°17'31.58"""
414240072033201,"41°42'39.66""","72°03'33.00"""
414741072134501,"41°47'42.08""","72°13'43.09"""
412429073165101,"41°24'29.54""","73°16'49.98"""
411832072325501,"41°18'32.06""","72°32'53.05"""
412916073121701,"41°29'16""","73°12'17"""
415956073241501,"41°59'56.55""","73°24'13.91"""
413535072253701,"41°35'35.28""","72°25'35.12"""
410628073413301,"41°06'28.4""","73°41'32.6"""
412825072410501,"41°28'21.74""","72°41'02.07"""
385134104550601,"38°51'34""","104°55'06"""
385721104501101,"38°57'20.64""","104°50'11.14"""
385201106085801,"38°52'00.87""","106°08'58.09"""
383632107560201,"38°36'32.62""","107°56'02.04"""
393227104343401,"39°32'27.27""","104°34'34.47"""
384348104232201,"38°43'48.19""","104°23'26.92"""
395648105485300,"39°56'46.62""","105°48'49.85"""
391143104482501,"39°11'37.67""","104°48'22.89"""
405159102444201,"40°51'58.88""","102°44'44.50"""
381947108513802,"38°19'46.96""","108°51'37.86"""
392133104310201,"39°21'31.9""","104°31'06.46"""
385155104550302,"38°51'55""","104°55'03"""
384824104332601,"38°48'24.17""","104°33'25.55"""
384538106503101,"38°45'38.03""","106°50'31.16"""
385131104544201,"38°51'31""","104°54'42"""
392235105003001,"39°22'29.42""","105°00'30.46"""
384648104454501,"38°46'48""","104°45'45"""
392916104423601,"39°29'10.65""","104°42'34.58"""
395755108211400,"39°57'52""","108°21'15"""
384707104421901,"38°47'07.42""","104°42'18.70"""
382917107483101,"38°29'17""","107°48'31"""
400237104500301,"40°02'36.98""","104°49'24.87"""
383705106071601,"38°37'04.57""","106°07'16.35"""
402538103242001,"40°25'44.37""","103°24'26.74"""
401544103443101,"40°15'43.77""","103°44'31.96"""
404450103013501,"40°44'47.05""","103°01'39.46"""
384425106512101,"38°44'24.54""","106°51'21.23"""
390129104344401,"39°01'29.26""","104°34'44.39"""
403426103200401,"40°34'27.68""","103°20'04.17"""
405039102485601,"40°50'38.82""","102°48'57.17"""
393350104151701,"39°33'51.99""","104°15'17.07"""
401440103373201,"40°14'39.92""","103°37'32.72"""
383334106555400,"38°33'34.36""","106°55'53.28"""
384356106510801,"38°43'55.68""","106°51'08.29"""
384348104232901,"38°43'47.83""","104°23'28.29"""
404320103053801,"40°43'19.80""","103°05'40.54"""
402104104404501,"40°20'55.42""","104°40'40.07"""
385124104554201,"38°51'24""","104°55'42"""
383207106043901,"38°32'02.83""","106°04'32.03"""
